LU  A	B	C	S	E	T	D	H	U	N	E	I	M	K	Y	;	Q	P	R	D	L	V	W	X	J	Z	0	1	2	3	4	5	6	7	8	9	,	.	/	[	]	O	'	-	=	SP
A	1.3	1.8	1.7	1.5	1.5	1.5	1.5	1.1	1.1	1.1	1	1	1.1	1.1	1.1	1.2	1.9	1.7	1.6	1.5	1.2	1.5	1.8	1.9	1.2	1.9	1.1	2.2	2.2	2	1.7	1.6	1.3	1.1	1.1	1.1	1.2	1	1	1.2	1.1	1.3	1.2	1.2	1.2	1.3
B	1.6	1.3	1.7	1.6	1.7	1.9	1.8	1.2	1.1	1.2	1.2	1.1	1.1	1.1	1.1	1.1	1.8	1.9	1.7	1.9	1.2	1.8	1.8	1.7	1.3	1.6	1.2	2.1	2.2	2	2.2	2.2	1.4	1.2	1.2	1.1	1.3	1.1	1.1	1.2	1.1	1.2	1.1	1.2	1.4	1.2
C	1.6	1.6	1.3	1.7	1.8	1.7	1.7	1.1	1.1	1.1	1	1	1.1	1	1.1	1.1	1.8	1.9	1.8	1.9	1.1	1.5	1.5	1.6	1.2	1.4	1.2	2.1	2.2	2	2.1	2.1	1.4	1.1	1.2	1.1	1.2	1.1	1.1	1.2	1.1	1.2	1.1	1.1	1.1	1.2
S	1.4	1.7	1.9	1.3	1.6	1.5	1.5	1.1	1	1.1	1.1	1.1	1.1	1.1	1.1	1.1	1.6	1.7	1.4	1.7	1.1	1.6	1.6	1.7	1.2	1.5	1.2	1.8	1.9	1.9	1.9	2	1.2	1.2	1.1	1.2	1.2	1	1.1	1.2	1.1	1.2	1.2	1.2	1.1	1.3
F	1.5	1.8	1.9	1.8	1.3	1.5	1.6	1.1	1.1	1	1	1.1	1.1	1.1	1	1.2	1.4	1.3	1.7	1.6	1.1	1.7	1.4	2	1.2	1.8	1.2	1.7	1.8	1.8	1.7	1.7	1.3	1.2	1.1	1.2	1.2	1.1	1.1	1.2	1.1	1.2	1.1	1.2	1.2	1.5
T	1.3	1.8	1.8	1.5	1.4	1.3	1.8	1.1	1.2	1.1	1.1	1.1	1.2	1.1	1.1	1.1	1.5	1.7	1.5	1.7	1.2	1.8	1.4	1.7	1.2	1.6	1.2	1.7	1.7	1.8	1.9	1.9	1.3	1.2	1.2	1.1	1.2	1.1	1.2	1.2	1.1	1.2	1	1.2	1.1	1.3
D	1.4	1.8	1.8	1.5	1.4	1.6	1.3	1.2	1.1	1.1	1.1	1.1	1.1	1.1	1.1	1.1	1.4	1.8	1.5	1.7	1.1	1.8	1.5	1.7	1.1	1.6	1.2	1.6	1.8	1.8	2	1.9	1.3	1.2	1.2	1.2	1.2	1.1	1.1	1.2	1.1	1.2	1.1	1.2	1.2	1.4
H	1.2	1.2	1.2	1.1	1.1	1.2	1.5	1.3	1.3	1.6	1.5	1.4	1.8	1.6	1.4	1.4	1.2	1.1	1.1	1.1	1.5	1.2	1.1	1.2	1.5	1.2	1.5	1.3	1.1	1.2	1.2	1.2	1.7	1.7	1.4	1.5	1.8	1.8	1.9	1.6	1.8	1.6	1.7	1.7	1.8	1.3
U	1.2	1.2	1.2	1.1	1.1	1.1	1.2	1.7	1.3	1.5	1.6	1.6	1.7	1.5	1.4	1.5	1.2	1.1	1.1	1.1	1.4	1.2	1.1	1.2	1.6	1.3	1.7	1.4	1.1	1.1	1.2	1.1	1.9	1.8	1.7	1.6	1.9	1.9	1.9	1.7	1.9	1.8	1.8	1.8	2	1.3
N	1.1	1.2	1.1	1.1	1.1	1.2	1.2	1.6	1.5	1.3	1.3	1.4	1.8	1.6	1.5	1.4	1.3	1.1	1.2	1.1	1.6	1.2	1.2	1.2	1.8	1.3	1.7	1.3	1.2	1.1	1.2	1.2	1.9	1.8	1.6	1.6	1.9	1.7	1.7	1.6	1.8	1.6	1.6	1.8	1.8	1.2
E	1.2	1.1	1.2	1.1	1.1	1.2	1.2	1.6	1.6	1.5	1.3	1.3	1.6	1.6	1.6	1.8	1.2	1.1	1.1	1.1	1.6	1.2	1.1	1.3	1.7	1.3	1.8	1.3	1.2	1.1	1.2	1.2	2	1.9	1.9	1.9	1.8	1.6	1.7	1.8	1.9	1.7	1.7	2	2.1	1.2
